updated_at,game,kickoff_utc,market_ticker,player_name,player_id,threshold,yes_bid,yes_ask,no_bid,no_ask,projection,fair_yes,fair_no,yes_edge,no_edge,minutes_to_kickoff,entry_price,edge_required,size_units,market_qc_pass,model_available,action,max_contracts_at_1_unit
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-80,Ladd McConkey: 80+ receiving yards,00-0039915,80.0,0.25,0.29,0.71,0.75,45.27196342640875,0.0822189202575532,0.9177810797424468,-0.20778107974244678,0.16778107974244683,4412.511232566667,0.75,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,MIN@TB,2026-09-27T20:05:00+00:00,KXNFLRECYDS-26SEP27MINTB-TBEEGBUKA2-70,Emeka Egbuka: 70+ receiving yards,00-0040129,70.0,0.26,0.3,0.7,0.74,42.21937880665199,0.0977596741344195,0.9022403258655805,-0.2022403258655805,0.16224032586558046,4597.511232566667,0.74,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-90,George Pickens: 90+ receiving yards,00-0037247,90.0,0.22,0.25,0.75,0.78,50.2109966436286,0.0610138248847926,0.9389861751152074,-0.1889861751152074,0.1589861751152074,4617.511232566667,0.78,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-70,Christian Watson: 70+ receiving yards,00-0038124,70.0,0.49,0.5,0.5,0.51,62.8475438262419,0.3333333333333333,0.6666666666666667,-0.16666666666666669,0.15666666666666673,527.5112325666666,0.51,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,HOU@IND,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27HOUIND-HOUXHUTCHINSON19-40,Xavier Hutchinson: 40+ receiving yards,00-0038618,40.0,0.48,0.51,0.49,0.52,32.325205181421225,0.3297045101088648,0.6702954898911352,-0.1802954898911352,0.15029548989113517,4412.511232566667,0.52,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-110,CeeDee Lamb: 110+ receiving yards,00-0036358,110.0,0.21,0.29,0.71,0.79,71.75182584905708,0.0610138248847926,0.9389861751152074,-0.22898617511520739,0.1489861751152074,4617.511232566667,0.79,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,CIN@PIT,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-70,Ja'Marr Chase: 70+ receiving yards,00-0036900,70.0,0.54,0.57,0.43,0.4599999999999999,67.35238704863403,0.3918575063613231,0.6081424936386769,-0.17814249363867685,0.148142493638677,4412.511232566667,0.4599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-80,Matthew Golden: 80+ receiving yards,00-0040667,80.0,0.23,0.26,0.74,0.77,46.30049393431656,0.0822189202575532,0.9177810797424468,-0.1777810797424468,0.1477810797424468,527.5112325666666,0.77,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-40,Jameson Williams: 40+ receiving yards,00-0037240,40.0,0.64,0.69,0.31,0.36,43.062913752018645,0.4953703703703703,0.5046296296296298,-0.19462962962962965,0.14462962962962977,4412.511232566667,0.36,0.04,0.5,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-40,Ladd McConkey: 40+ receiving yards,00-0039915,40.0,0.65,0.68,0.3199999999999999,0.35,45.27196342640875,0.5065123010130245,0.4934876989869755,-0.17348769898697558,0.1434876989869755,4412.511232566667,0.35,0.04,0.5,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-70,Tucker Kraft: 70+ receiving yards,00-0038996,70.0,0.21,0.24,0.76,0.79,34.52755216150009,0.0685772773797338,0.9314227226202662,-0.1714227226202662,0.14142272262026612,527.5112325666666,0.79,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,MIN@TB,2026-09-27T20:05:00+00:00,KXNFLRECYDS-26SEP27MINTB-TBEEGBUKA2-50,Emeka Egbuka: 50+ receiving yards,00-0040129,50.0,0.47,0.51,0.49,0.53,42.21937880665199,0.3297045101088648,0.6702954898911352,-0.1802954898911352,0.14029548989113516,4597.511232566667,0.53,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-NYJGWILSON5-90,Garrett Wilson: 90+ receiving yards,00-0037740,90.0,0.24,0.27,0.73,0.76,63.80211333588932,0.102890739833415,0.897109260166585,-0.167109260166585,0.13710926016658498,4412.511232566667,0.76,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-90,Matthew Golden: 90+ receiving yards,00-0040667,90.0,0.19,0.2,0.8,0.81,46.30049393431656,0.0533141210374639,0.946685878962536,-0.1466858789625361,0.13668587896253592,527.5112325666666,0.81,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-70,CeeDee Lamb: 70+ receiving yards,00-0036358,70.0,0.6,0.64,0.36,0.4,71.75182584905708,0.4647377938517179,0.5352622061482821,-0.17526220614828214,0.1352622061482821,4617.511232566667,0.4,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,PHI@CHI,2026-09-29T00:15:00+00:00,KXNFLRECYDS-26SEP28PHICHI-PHIDSMITH6-90,DeVonta Smith: 90+ receiving yards,00-0036912,90.0,0.26,0.34,0.6599999999999999,0.74,67.26372313267058,0.125,0.875,-0.21500000000000002,0.135,6287.511232566667,0.74,0.02,1.0,True,True,BET_NOW_PAPER,1
